zip,data
33903,24
33904,2
33905,475
33908,74
33912,1
33914,1
33917,1
33932,1
33935,1
33950,3
33955,55
33967,1
33974,1
33976,1
33980,59
33982,2
33991,1
34108,1
34114,1
34119,2
34120,1
34135,1
34145,2
34201,1
34203,9
34207,15
34208,137
34210,1
34211,1
34212,1
34221,18
34229,1
34231,2
34232,65
34233,1
34235,1
34236,2
34241,1
34269,1
34275,525
34285,15
34286,1
34287,2
34288,1
34291,1
34292,1
34293,2
34420,2
34428,33
34432,2
34442,1
34446,16
34450,90
34471,88
34472,1
34479,53
34480,205
34481,1
34488,1
34491,87
34602,7
34608,1
34609,2
34613,62
34614,1
34637,1
34638,1
34652,1
34654,1
34655,5
34667,65
34669,1
34683,2
34684,1
34685,1
34688,1
34689,1
34691,68
34695,1
34714,2
34731,163
34736,1
34742,1
34744,6
34746,94
34748,1
34759,1
34761,3
34785,186
34786,2
34787,112
34946,289
34949,1
34952,1
34953,2
34957,5
34972,2
34973,1
34982,41
34983,1
34986,2
34987,2
34990,3
34994,20
34997,4
35007,1
35022,56
35040,127
35042,1
35071,14
35080,2
35089,1
35096,1
35098,1
35124,1
35126,2
35160,1
35186,1
35206,1
35222,1
35223,1
35226,1
35242,1
35444,1
35473,2
35565,1
35570,1
35611,1
35631,17
35674,1
35754,1
35756,1
35757,1
35758,1
35805,1
35811,1
35816,188
35906,1
35907,1
35950,48
35954,25
35957,1
35958,1
35967,1
35976,1
36010,1
36022,1
36048,1
36054,105
36066,1
36067,3
36079,1
36092,1
36104,1
36108,2
36116,48
36203,1
36207,224
36250,1
36251,1
36264,1
36301,138
36305,1
36526,1
36542,1
36567,89
36580,26
36582,140
36608,2
36618,11
36695,2
36801,40
36804,63
36831,1
36832,1
36874,1
37027,1
37040,1
37046,1
37064,2
37066,1
37069,1
37070,1
37076,1
37086,24
37090,51
37110,1
37122,1
37135,1
37212,1
37214,111
37221,1
37321,2
37343,11
37347,1
37363,1
37377,3
37379,2
37388,1
37409,1
37412,217
37415,1
37604,1
37615,2
37641,18
37645,1
37660,1
37681,1
37711,54
37725,1
37737,1
37742,1
37745,1
37748,1
37777,369
37803,1
37828,1
37830,1
37849,1
37857,1
37870,1
37885,1
37922,4
37923,1
37924,202
37933,178
37934,1
38011,1
38012,1
38016,2
38017,4
38044,1
38053,1
38058,1
38060,2
38109,1
38116,119
38120,1
38139,1
38222,1
38305,1
38316,1
38344,1
38372,1
38401,1
38468,1
38555,1
38556,2
38558,1
38580,1
38601,2
38606,1
38611,1
38632,1
38671,1
38834,47
38869,38
39042,1
39047,1
39073,18
39110,1
39120,1
39204,52
39301,100
39437,1
39466,51
39479,1
39483,1
39503,86
39532,54
39560,1
39565,1
39576,1
39667,1
39705,81
39730,83
39766,1
39845,1
40014,1
40059,1
40065,1
40078,1
40109,1
40214,1
40258,1
40356,1
40383,1
40385,1
40391,1
40403,2
40444,1
40505,271
40507,1
40509,1
40601,2
40701,38
40729,1
40741,141
40744,10
40769,1
41001,1
41007,1
41011,1
41017,1
41030,1
41035,2
41059,2
41076,1
41094,58
41102,192
41254,1
41501,69
42001,44
42003,1
42048,1
42066,189
42071,1
42088,1
42211,1
42404,1
42420,1
42629,1
42633,29
42701,28
42726,1
43015,65
43025,49
43062,92
43068,1
43074,103
43076,5
43081,1
43082,1
43123,3
